,spkid,full_name,pha,H,diameter,albedo,diameter_sigma,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
12302,2014888,' 14888 Kanazawashi (1991 SN1)',N,14.9,2.993,0.3429999999999999,0.809,0.1677773997427211,2.219529911824865,1.847142954567699,5.798179194920524,203.18826935699383,160.7124077238418,246.99243223167352,2.591916869082032,0.2980660899716304,2459379.6359418947,20210614.135941897,1207.785830431984,3.30673738653521,0.846458,329.41605986,4.2043e-08,6.4081999999999994e-09,9.3656e-08,4.1822e-06,3.686e-05,3.8304e-05,1.1402e-05,7.483300000000001e-09,1.2909000000000002e-09,3.9112e-05,5.2306e-06,MBA,0.51526
118822,2417900,'417900 (2007 RE102)',N,15.6,3.9160000000000004,0.024,1.135,0.1299088804597178,3.040716082529283,2.645700060452045,15.68279889283833,335.595665932547,32.95748894818797,131.34434416575002,3.435732104606522,0.1858832543151269,2458293.90410652,20180624.4041065,1936.699469386811,5.302394166699,1.65572,644.3565524,9.271800000000001e-08,6.2365e-08,2.692300000000001e-07,1.0241e-05,2.0408e-05,3.566e-05,3.2473e-05,7.0467e-08,5.7187e-09,0.00016972,5.9583e-05,MBA,0.60649
120064,2429871,'429871 (2012 SX24)',N,15.7,3.7060000000000004,0.141,0.927,0.0610844529275141,3.1613288260373777,2.968220784174904,9.24378686672958,6.876825473521514,98.4949345606458,40.255578050352064,3.354436867899853,0.1753474953432599,2458770.923991677,20191014.4239917,2053.066109072529,5.62098866275846,2.00347,779.6904199,5.6160000000000015e-08,5.0857000000000003e-08,1.9264e-07,9.7161e-06,3.7164e-05,0.00010479,9.2351e-05,5.3963e-08,4.2313000000000005e-09,0.00052794,4.9542e-05,MBA,0.5539
44985,2070644,' 70644 (1999 TU242)',N,15.2,4.563,0.053,0.129,0.0675498723331401,2.576941521599962,2.402869450805917,8.363285062345447,145.9024398344799,214.2404530184109,28.521591575049182,2.751013592394008,0.238257855800915,2458880.7910759044,20200201.291075896,1510.968017360196,4.13680497566104,1.4025,545.810925,5.1735e-08,1.3479e-08,1.3970000000000001e-07,4.6827e-06,2.587e-05,3.855e-05,2.8311e-05,1.4389e-08,1.8692999999999997e-09,0.00011876,1.1855e-05,MBA,0.57629
84222,2196786,'196786 (2003 SP187)',N,14.9,3.72,0.153,0.715,0.135072619584728,3.106795759527976,2.687152717773808,9.583812634281989,63.72925158594039,255.5675066748835,43.94017603868917,3.526438801282145,0.1799844637019977,2458756.366839088,20190929.866839103,2000.172640434432,5.4761742380135,1.69462,659.4952654,6.0389e-08,3.717900000000001e-08,1.9257e-07,5.55e-06,4.2701e-05,4.8746e-05,2.6941e-05,4.2201e-08,3.2308e-09,0.00014728,3.5904e-05,MBA,0.6047100000000001
114061,2369153,'369153 (2008 SM52)',N,16.4,4.039,0.03,1.042,0.1485476527405321,3.096605151542464,2.636611724816591,5.776222569813171,192.9905451542292,193.3898212289486,38.71194767711509,3.5565985782683365,0.1808736597071883,2458786.4724420914,20191029.9724421,1990.339558467466,5.44925272681031,1.64117,638.6941289,6.478500000000002e-08,3.3744999999999995e-08,2.0052e-07,7.271399999999999e-06,5.4114e-05,5.8562e-05,1.9676e-05,3.8758e-08,2.9566e-09,0.00010855,3.2535e-05,MBA,0.55253
22044,2029216,' 29216 (1991 VX5)',N,12.7,10.415,0.148,0.096,0.0420796756139033,2.98748695145563,2.861774469637608,10.866873453426768,86.8141795130142,82.63466717731399,83.08392769879788,3.1131994332736515,0.1908732412001749,2458565.216734644,20190322.7167346,1886.068459551418,5.16377401656788,1.89448,737.2747816000001,5.7917e-08,1.74e-08,1.7692e-07,4.5461e-06,2.9871e-05,6.8576e-05,5.9153e-05,1.8133e-08,1.6676e-09,0.00031079,1.6478e-05,MBA,0.47334
96082,2242918,'242918 (2006 OM3)',N,16.0,1.8769999999999998,0.182,0.39299999999999996,0.1467690168508275,2.7137025204425598,2.315415069491592,15.07443024567127,101.2405781162206,146.9076423216616,71.40097500411333,3.1119899713935264,0.2204756932657594,2458676.65035496,20190712.150355,1632.833055959866,4.470453267515031,1.31413,511.4199721,5.3651e-08,2.5118e-08,1.5516e-07,6.5951e-06,1.8777e-05,2.8933e-05,1.9727e-05,2.8805e-08,3.0611e-09,8.984700000000001e-05,2.267e-05,MBA,0.5712
66846,2126149,'126149 (2001 YN135)',N,15.7,2.517,0.193,0.504,0.0234429533351707,2.60600667197577,2.544914179173498,22.68010504347417,88.20860286104393,323.25232337,165.69003313585608,2.667099164778041,0.2342830067141296,2458293.2782707773,20180623.7782708,1536.603123927248,4.20699007235386,1.57026,611.0980842,5.6338e-08,2.1989e-08,1.4917e-07,6.4706e-06,1.3804e-05,0.00013289,0.00013579,2.2505000000000002e-08,2.9653e-09,0.0005756,1.9449e-05,MBA,0.57297
62178,2112612,'112612 (2002 PX64)',N,14.4,6.968999999999999,0.076,0.17,0.1139723917392666,3.1613596320820405,2.801051913665681,24.929031491050573,167.7532378584951,351.18344304273865,209.2340507709766,3.521667350498397,0.1753449323243809,2459860.3249588995,20221007.824958894,2053.0961187633,5.62107082481396,1.81068,704.6623356,5.0211e-08,3.4299e-08,1.6054000000000006e-07,5.860599999999999e-06,1.0263e-05,2.2006e-05,2.1612e-05,3.8208e-08,2.8536e-09,0.00012965,3.3412e-05,MBA,0.55425
